Date,Nominal_US_GDP_Quarterly
1996-12-01,8325.348040277235
1997-01-01,8362.655
1997-02-01,8411.104788420264
1997-03-01,8461.432411097925
1997-04-01,8518.825
1997-05-01,8571.289763877854
1997-06-01,8620.617163821527
1997-07-01,8662.823
1997-08-01,8700.489397885012
1997-09-01,8734.280835856658
1997-10-01,8765.907
1997-11-01,8799.547029261937
1997-12-01,8832.662636615452
1998-01-01,8866.48
1998-02-01,8899.570756197367
1998-03-01,8930.803829245668
1998-04-01,8969.699
1998-05-01,9013.82497956316
1998-06-01,9065.748842377854
1998-07-01,9121.097
1998-08-01,9181.818123402982
1998-09-01,9241.690192793734
1998-10-01,9293.991
1998-11-01,9338.789974780617
1998-12-01,9375.795778987793
1999-01-01,9411.682
1999-02-01,9448.803619063885
1999-03-01,9484.31092233136
1999-04-01,9526.21
1999-05-01,9570.37355436166
1999-06-01,9623.551617691826
1999-07-01,9686.626
1999-08-01,9764.650489510606
1999-09-01,9842.08965514804
1999-10-01,9900.169
1999-11-01,9933.320199958322
1999-12-01,9957.972036024292
2000-01-01,10002.179
2000-02-01,10082.371606660367
2000-03-01,10170.355222490154
2000-04-01,10247.72
2000-05-01,10285.244182736506
2000-06-01,10301.000073584308
2000-07-01,10318.165
2000-08-01,10355.647959266771
2000-09-01,10401.461194286236
2000-10-01,10435.744
2000-11-01,10448.872289701398
2000-12-01,10453.468882506275
2001-01-01,10470.231
2001-02-01,10512.497763454652
2001-03-01,10559.328678465381
2001-04-01,10599.0
2001-05-01,10610.006578739223
2001-06-01,10603.876236929656
2001-07-01,10598.02
2001-08-01,10606.168602554844
2001-09-01,10628.60343489049
2001-10-01,10660.465
2001-11-01,10700.244582273184
2001-12-01,10741.65314749698
2002-01-01,10783.5
2002-02-01,10821.404878217034
2002-03-01,10853.137914168243
2002-04-01,10887.46
2002-05-01,10921.119877900828
2002-06-01,10954.781918174576
2002-07-01,10984.04
2002-08-01,11009.698735056782
2002-09-01,11034.257388481527
2002-10-01,11061.433
2002-11-01,11096.226522870176
2002-12-01,11134.169798209636
2003-01-01,11174.129
2003-02-01,11213.291126509494
2003-03-01,11253.782917446584
2003-04-01,11312.766
2003-05-01,11389.142161156109
2003-06-01,11479.562048715206
2003-07-01,11566.669
2003-08-01,11646.515850943848
2003-09-01,11715.178460695779
2003-10-01,11772.234
2003-11-01,11823.589332842992
2003-12-01,11870.942413139997
2004-01-01,11923.447
2004-02-01,11983.942739489614
2004-03-01,12045.574112971834
2004-04-01,12112.815
2004-05-01,12176.268565479311
2004-06-01,12241.16890267366
2004-07-01,12305.307
2004-08-01,12374.897187013648
2004-09-01,12449.318092377614
2004-10-01,12527.214
2004-11-01,12613.265544285638
2004-12-01,12694.606878861694
2005-01-01,12767.286
2005-02-01,12822.90089418386
2005-03-01,12867.079992413908
2005-04-01,12922.656
2005-05-01,12992.073536951804
2005-06-01,13071.352495799621
2005-07-01,13142.642
2005-08-01,13202.270878865518
2005-09-01,13258.436594364142
2005-10-01,13324.204
2005-11-01,13413.543162927213
2005-12-01,13508.939531684053
2006-01-01,13599.16
2006-02-01,13667.368500669869
2006-03-01,13713.04196929719
2006-04-01,13753.424
2006-05-01,13789.139060729716
2006-06-01,13827.504498631955
2006-07-01,13870.188
2006-08-01,13922.89708445774
2006-09-01,13981.442685975784
2006-10-01,14039.56
2006-11-01,14098.064463034025
2006-12-01,14154.629587773334
2007-01-01,14215.651
2007-02-01,14280.713093593491
2007-03-01,14340.072666276306
2007-04-01,14402.082
2007-05-01,14455.731091069016
2007-06-01,14508.918343148502
2007-07-01,14564.117
2007-08-01,14627.269994553113
2007-09-01,14683.443662589445
2007-10-01,14715.058
2007-11-01,14715.167907070707
2007-12-01,14703.369487842205
2008-01-01,14706.538
2008-02-01,14745.185904948692
2008-03-01,14802.265429913074
2008-04-01,14865.701
2008-05-01,14911.142319979197
2008-06-01,14926.896714824088
2008-07-01,14898.999
2008-08-01,14819.442110195678
2008-09-01,14711.35524562271
2008-10-01,14608.208
2008-11-01,14526.505082197418
2008-12-01,14470.832210233795
2009-01-01,14430.901
2009-02-01,14403.277985450386
